index,LIST_OF_WORDS,POS,NEG,POS_TAG
0,अंमुक्त,1,0,a
1,अखंड,1,0,a
2,अखण्ड,1,0,a
3,अग्रगण्य,1,0,a
4,अचूकता,1,0,a
5,अचूक,1,0,a
6,अच्छाई,1,0,a
7,अच्छा,1,0,a
8,अच्छीतरह,1,0,a
9,अच्छी,1,0,a
10,अच्छीनस्ल,1,0,a
11,अच्छीस्थिति,1,0,a
12,अच्छे,1,0,a
13,अजेय,1,0,a
14,अडिग,1,0,a
15,अतिउत्साहित,1,0,a
16,अतिविशाल,1,0,a
17,अतुलनीय,1,0,a
18,अथक,1,0,a
19,अदभुत,1,0,a
20,अदभुत रूप,1,0,a
21,अद्भुत,1,0,a
22,अद्वितीय,1,0,a
23,अधिकतम,1,0,a
24,अधिकता,1,0,a
25,अधिकारपूर्ण,1,0,a
26,अधिकहोना,1,0,a
27,अधिमानत,1,0,a
28,अधिवक्ताओं,1,0,a
29,अनमोल,1,0,a
30,अनायास,1,0,a
31,अनुकरणीय,1,0,a
32,अनुकूलक,1,0,a
33,अनुकूलतापूर्वक,1,0,a
34,अनुकूलनीय,1,0,a
35,अनुकूल,1,0,a
36,अनुग्रह,1,0,a
37,अनुग्राही,1,0,a
38,अनुभूतियां,1,0,a
39,अनुमेय,1,0,a
40,अनुमोदन,1,0,a
41,अनुराग,1,0,a
42,अन्तरंग,1,0,a
43,अपराजेयता,1,0,a
44,अपराजेय,1,0,a
45,अपील,1,0,a
46,अबाध,1,0,a
47,अभिजात,1,0,a
48,अभिनंदन,1,0,a
49,अभिनव,1,0,a
50,अभिन्न,1,0,a
51,अभिपुष्टि,1,0,a
52,अभिमानी,1,0,a
53,अभिमान,1,0,a
54,अभेद्य,1,0,a
55,अमनपसंद,1,0,a
56,अमीर,1,0,a
57,अमूल्य,1,0,a
58,अमोघ,1,0,a
59,अर्चक,1,0,a
60,अर्दली,1,0,a
61,अलबेला,1,0,a
62,अल्हड़,1,0,a
63,अवाक,1,0,a
64,अविस्मरणीय,1,0,a
65,असंयत,1,0,a
66,असत्य,1,0,a
67,असली,1,0,a
68,असाधारण,1,0,a
69,असीमित,1,0,a
70,असीम,1,0,a
71,अस्वाभाविक,1,0,a
72,अहानिकर,1,0,a
73,अहिंसात्मक,1,0,a
74,अहिंस,1,0,a
75,आंखपकड़,1,0,a
76,आकर्षक,1,0,a
77,आकर्षण,1,0,a
78,आकस्मिक,1,0,a
79,आकांक्षाओं,1,0,a
80,आकांक्षा,1,0,a
81,आगेनिकलना,1,0,a
82,आगेनिकल,1,0,a
83,आगेबढ़ना,1,0,a
84,आग्रहपूर्वक,1,0,a
85,आग्रह,1,0,a
86,आज़ाद,1,0,a
87,आज्ञाकारी,1,0,a
88,आड़ू,1,0,a
89,आत्मनिर्भरता,1,0,a
90,आत्मनिर्भर,1,0,a
91,आत्मविश्वास,1,0,a
92,आत्मसंतोष,1,0,a
93,आत्मसम्मान,1,0,a
94,आत्मीयता,1,0,a
95,आदरकारी,1,0,a
96,आदरपूर्वक,1,0,a
97,आदर्श,1,0,a
98,आदर,1,0,a
99,आदाब,1,0,a
100,आधार,1,0,a
101,आधिकारिक,1,0,a
102,आधुनिकता,1,0,a
103,आधुनिक,1,0,a
104,आध्यात्मिक,1,0,a
105,आनंददायी,1,0,a
106,आनंदपूर्वक,1,0,a
107,आनंदमय,1,0,a
108,आनंदित,1,0,a
109,आनंद,1,0,a
110,आनन्दपूर्वक,1,0,a
111,आभारी,1,0,a
112,आभार,1,0,a
113,आमोद,1,0,a
114,आमोदप्रमोद,1,0,a
115,आराध्य,1,0,a
116,आरामदायक,1,0,a
117,आराम,1,0,a
118,आलादर्जे,1,0,a
119,आलिंगन,1,0,a
120,आलीशान,1,0,a
121,आवाहक,1,0,a
122,आविष्कारशील,1,0,a
123,आवेशपूर्ण,1,0,a
124,आशावादी,1,0,a
125,आशावाद,1,0,a
126,आशावान,1,0,a
127,आशीर्वाद,1,0,a
128,आश्चर्यचकित,1,0,a
129,आश्चर्यजनक,1,0,a
130,आश्चर्य,1,0,a
131,आश्च्र्यजनक,1,0,a
132,आश्वस्त,1,0,a
133,आश्वासनों,1,0,a
134,आश्वासन,1,0,a
135,आसक्ति,1,0,a
136,आसानी,1,0,a
137,आसान,1,0,a
138,इंगित,1,0,a
139,इच्छा,1,0,a
140,इच्छुक,1,0,a
141,इनाम,1,0,a
142,इनायत,1,0,a
143,इमदादी,1,0,a
144,इलाज,1,0,a
145,इष्टतम,1,0,a
146,ईमानदारी,1,0,a
147,ईमानदार,1,0,a
148,ईर्ष्यापूर्वक,1,0,a
149,ईशअनुग्रह,1,0,a
150,उचित,1,0,a
151,उच्चगुणवत्ता,1,0,a
152,उछाल,1,0,a
153,उजागर,1,0,a
154,उज्जवल,1,0,a
155,उत्कट,1,0,a
156,उत्कृष्टता,1,0,a
157,उत्कृष्ट,1,0,a
158,उत्कृष्टप्रदर्शन,1,0,a
159,उत्तम,1,0,a
160,उत्तरजीविता,1,0,a
161,उत्तरजीवी,1,0,a
162,उत्तरदायी,1,0,a
163,उत्तरवर्ती,1,0,a
164,उत्तराधिकारी,1,0,a
165,उत्तेजकता,1,0,a
166,उत्तेजक,1,0,a
167,उत्तेजना,1,0,a
168,उत्तेजित,1,0,a
169,उत्तोलन,1,0,a
170,उत्थान,1,0,a
171,उत्पादक,1,0,a
172,उत्पादी,1,0,a
173,उत्सव,1,0,a
174,उत्सवसंबंधी,1,0,a
175,उत्साहपूर्वक,1,0,a
176,उत्साहित,1,0,a
177,उत्साही,1,0,a
178,उत्साह,1,0,a
179,उत्सुकतापूर्वक,1,0,a
180,उत्सुकता,1,0,a
181,उत्सुक,1,0,a
182,उदबोधन,1,0,a
183,उदात्त,1,0,a
184,उदारतापूर्वक,1,0,a
185,उदारता,1,0,a
186,उदार,1,0,a
187,उद्देश्यपूर्ण,1,0,a
188,उद्यमी,1,0,a
189,उन्नति,1,0,a
190,उन्नत,1,0,a
191,उन्मादपूर्ण,1,0,a
192,उपजाऊ,1,0,a
193,उपदेश,1,0,a
194,उपयुक्त,1,0,a
195,उपयोगी,1,0,a
196,उपलब्धियों,1,0,a
197,उपलब्धि,1,0,a
198,उपलब्ध,1,0,a
199,उपाय,1,0,a
200,कुशलता,1,0,a
201,उबलनेवाला,1,0,a
202,उमंग,1,0,a
203,उर्वर,1,0,a
204,उल्लसित,1,0,a
205,उल्लासपूर्ण,1,0,a
206,उल्लास,1,0,a
207,उल्लेखनीय,1,0,a
208,ऊंचा,1,0,a
209,ऊपरउठाना,1,0,a
210,ऊर्जाकीबचत,1,0,a
211,ऊर्जाकुशल,1,0,a
212,ऋणी,1,0,a
213,ऋषिकल्प,1,0,a
214,एकजुटता,1,0,a
215,एकता,1,0,a
216,एकीकृत,1,0,a
217,एक्सेल,1,0,a
218,एहसान,1,0,a
219,ओवरटेक,1,0,a
220,कट्टर,1,0,a
221,कठोर,1,0,a
222,कमकीमत,1,0,a
223,कमजोखिम,1,0,a
224,कमलागत,1,0,a
225,करतब,1,0,a
226,करामाती,1,0,a
227,करिज्मा,1,0,a
228,करिश्माई,1,0,a
229,कर्षण,1,0,a
230,कल्पनाशील,1,0,a
231,कल्पित,1,0,a
232,क़ाबिलियत,1,0,a
233,काउंटरहमले,1,0,a
234,कानूनी,1,0,a
235,कापी,1,0,a
236,कामयाब,1,0,a
237,कामुक,1,0,a
238,वादाकिया,1,0,a
239,समर्थन,1,0,a
240,किफायती,1,0,a
241,किरण,1,0,a
242,अग्रसर,1,0,a
243,कृपा,1,0,a
244,वसूली,1,0,a
245,सराहना,1,0,a
246,सिफारिश,1,0,a
247,कुतरना,1,0,a
248,कुरकुरा,1,0,a
249,कुशलतापूर्वक,1,0,a
250,कुशल,1,0,a
251,कुशाग्र,1,0,a
252,कृतज्ञता,1,0,a
253,कृतज्ञ,1,0,a
254,कृपालु,1,0,a
255,कॉर्नरस्टोन,1,0,a
256,कोमल,1,0,a
257,पुनर्जीवित,1,0,a
258,प्रेरित,1,0,a
259,प्रोत्साहित,1,0,a
260,मंत्रमुग्ध,1,0,a
261,लुभाने,1,0,a
262,शांत,1,0,a
263,सब्सिडी,1,0,a
264,सरल,1,0,a
265,सशक्त,1,0,a
266,सहीठहराया,1,0,a
267,सुविधाजनक,1,0,a
268,हराने,1,0,a
269,कौतुक,1,0,a
270,कौशलपूर्वक,1,0,a
271,कौशल,1,0,a
272,क्रान्तिकारी,1,0,a
273,क्रियात्मक,1,0,a
274,क्रियाशील,1,0,a
275,परिवर्तन,1,0,a
276,क्लासिक,1,0,a
277,क्षमता,1,0,a
278,क्षमा,1,0,a
279,ख़ासकर,1,0,a
280,ख़ुशी,1,0,a
281,ख़ुश,1,0,a
282,खिलना,1,0,a
283,खिले,1,0,a
284,खुलेआम,1,0,a
285,खुलेतौर,1,0,a
286,खुलेदिल,1,0,a
287,खुशामदी,1,0,a
288,खुशामद,1,0,a
289,खुशी,1,0,a
290,खुशीखुशी,1,0,a
291,खुश,1,0,a
292,खूबसूरती,1,0,a
293,खूबी,1,0,a
294,ख्याति,1,0,a
295,गंधा,1,0,a
296,गतिशील,1,0,a
297,गम्भीरता,1,0,a
298,गरमागरम,1,0,a
299,गरमी,1,0,a
300,गरम,1,0,a
301,गरिमा,1,0,a
302,गर्मी,1,0,a
303,गर्म,1,0,a
304,गर्वित,1,0,a
305,गर्व,1,0,a
306,गहराई,1,0,a
307,गहरा,1,0,a
308,ग़ुलाम,1,0,a
309,गारंटी,1,0,a
310,गुणग्राही,1,0,a
311,गुदगुदाना,1,0,a
312,गुदगुदी,1,0,a
313,गुलाबी,1,0,a
314,गूंजना,1,0,a
315,गेय,1,0,a
316,गोलमटोल,1,0,a
317,गौर,1,0,a
318,ग्रस्तता,1,0,a
319,ग्रहणशील,1,0,a
320,ग्रहणकरना,1,0,a
321,घूसदेना,1,0,a
322,चंगा,1,0,a
323,चंचल,1,0,a
324,चकाचौंधा,1,0,a
325,चकाचौंध,1,0,a
326,चकित,1,0,a
327,चकितकरना,1,0,a
328,चतुरता,1,0,a
329,चतुराई,1,0,a
330,चपलता,1,0,a
331,चमकदार,1,0,a
332,चमकना,1,0,a
333,चमकीला,1,0,a
334,चमक,1,0,a
335,चमकदमक,1,0,a
336,चमत्कारपूर्ण,1,0,a
337,चमत्कारपूर्वक,1,0,a
338,चमत्कारिक,1,0,a
339,चमत्कारी,1,0,a
340,चमत्कार,1,0,a
341,चयनात्मक,1,0,a
342,चालाकी,1,0,a
343,चालाक,1,0,a
344,चाव,1,0,a
345,चाहे,1,0,a
346,चिंताशील,1,0,a
347,चिकना,1,0,a
348,चिकनी,1,0,a
349,चिपट,1,0,a
350,चिरस्थायी,1,0,a
351,चुप,1,0,a
352,चुस्ती,1,0,a
353,चुस्त,1,0,a
354,चैंपियन,1,0,a
355,चौंकाने,1,0,a
356,चौकस,1,0,a
357,छन्दबद्ध,1,0,a
358,छुड़ाना,1,0,a
359,छूट,1,0,a
360,जबड़े,1,0,a
361,जयकार,1,0,a
362,जयघोष,1,0,a
363,जयध्वनि,1,0,a
364,जल्दबाज़ी,1,0,a
365,जवाबीहमला,1,0,a
366,जवाहरात,1,0,a
367,जशन,1,0,a
368,जश्नमनाना,1,0,a
369,ज़मानत,1,0,a
370,ज़ाहिरदार,1,0,a
371,ज़िंदादिली,1,0,a
372,जागरूक,1,0,a
373,जादुई,1,0,a
374,जादू,1,0,a
375,जानकार,1,0,a
376,जानालाजिमी,1,0,a
377,जान,1,0,a
378,जिम्मेदारी,1,0,a
379,जीतता,1,0,a
380,जीतना,1,0,a
381,जीतने,1,0,a
382,जीता,1,0,a
383,जीत,1,0,a
384,जीवंत,1,0,a
385,जुटना,1,0,a
386,जुर्माना,1,0,a
387,जैसा,1,0,a
388,जोखिममुक्त,1,0,a
389,जोड़नेवाला,1,0,a
390,जोशीला,1,0,a
391,जोश,1,0,a
392,जोशख़रोश,1,0,a
393,ज्वलंत,1,0,a
394,झिलमिलाता,1,0,a
395,झुनझुनी,1,0,a
396,टिकाऊ,1,0,a
397,टोलफ्री,1,0,a
398,ट्रम्प,1,0,a
399,ट्रेंडी,1,0,a
400,ट्रॉफ़ी,1,0,a
401,ठग,1,0,a
402,ठाठ,1,0,a
403,ठीक,1,0,a
404,ठीककरना,1,0,a
405,ठीकदिखने,1,0,a
406,ठीकप्रकार,1,0,a
407,ठोस,1,0,a
408,डींग,1,0,a
409,ढील,1,0,a
410,तगड़ा,1,0,a
411,तजरबाकार,1,0,a
412,तप,1,0,a
413,तर्कशीलता,1,0,a
414,तर्कसंगत,1,0,a
415,तर्क,1,0,a
416,तसल्लीब्ख़्श,1,0,a
417,तहेदिल,1,0,a
418,ताज़ा,1,0,a
419,ताज़ाकरना,1,0,a
420,ताजा,1,0,a
421,तानाशाही,1,0,a
422,तारकीय,1,0,a
423,तारीफ,1,0,a
424,तार्किक,1,0,a
425,तीव्रता,1,0,a
426,तीव्र,1,0,a
427,तुरन्त,1,0,a
428,तृप्तिदायी,1,0,a
429,तेजस्वी,1,0,a
430,तेज़ी,1,0,a
431,तेज़,1,0,a
432,तेजी,1,0,a
433,तेज,1,0,a
434,तैयार,1,0,a
435,दमभरनेवाला,1,0,a
436,दयालुता,1,0,a
437,दयालु,1,0,a
438,दया,1,0,a
439,दरार,1,0,a
440,दर्दसेमुक्त,1,0,a
441,दानकर्ता,1,0,a
442,दिमागउड़ा,1,0,a
443,दिलकश,1,0,a
444,दिलचस्प,1,0,a
445,दिली,1,0,a
446,दिलेरी,1,0,a
447,दिलसे,1,0,a
448,दिव्य,1,0,a
449,दीप्ति,1,0,a
450,दुबला,1,0,a
451,दुर्जेय,1,0,a
452,दूरदर्शिता,1,0,a
453,दृढ़तापूर्वक,1,0,a
454,दृढ़ता,1,0,a
455,दृढ़,1,0,a
456,दृढ़रहना,1,0,a
457,देवतुल्य,1,0,a
458,देवदूत,1,0,a
459,देवरूप,1,0,a
460,देशभक्तिपूर्ण,1,0,a
461,देशभक्त,1,0,a
462,दैवीकरण,1,0,a
463,दोषरहित,1,0,a
464,दौलतमन्द,1,0,a
465,द्वेषी,1,0,a
466,धनी,1,0,a
467,धन्यवाद,1,0,a
468,धर्मार्थ,1,0,a
469,धर्म,1,0,a
470,धारणीय,1,0,a
471,धाराप्रवाह,1,0,a
472,धार्मिकता,1,0,a
473,धार्मिक,1,0,a
474,धीर,1,0,a
475,धूलसासस्ता,1,0,a
476,धैर्यपूर्वक,1,0,a
477,धैर्य,1,0,a
478,ध्यानदेने,1,0,a
479,नखलिस्तान,1,0,a
480,नजाकत,1,0,a
481,नम्रता,1,0,a
482,नम्र,1,0,a
483,नया,1,0,a
484,नरम,1,0,a
485,नवसिखुआ,1,0,a
486,नवीकृत,1,0,a
487,नवीनता,1,0,a
488,नाजुक,1,0,a
489,नायक,1,0,a
490,नायिका,1,0,a
491,निडर,1,0,a
492,निधि,1,0,a
493,निपुण,1,0,a
494,निरंतरता,1,0,a
495,निर्णायक,1,0,a
496,निर्दोषता,1,0,a
497,निर्दोषिता,1,0,a
498,निर्दोष,1,0,a
499,निर्भीक,1,0,a
500,निर्मल,1,0,a
501,निर्विवाद,1,0,a
502,निविदा,1,0,a
503,निश्चितता,1,0,a
504,निष्कलंक,1,0,a
505,निष्ठावान,1,0,a
506,निष्ठा,1,0,a
507,निष्पक्षता,1,0,a
508,निष्पक्ष,1,0,a
509,निस्संदेह,1,0,a
510,निहायत,1,0,a
511,निहार,1,0,a
512,नीरव,1,0,a
513,नेकनीयत,1,0,a
514,नेकी,1,0,a
515,नेक,1,0,a
516,नेतृत्व,1,0,a
517,नेत्रपकड़ने,1,0,a
518,नैतिकता,1,0,a
519,नैतिक,1,0,a
520,नौगम्य,1,0,a
521,न्यायपूर्वक,1,0,a
522,न्यायसंगत,1,0,a
523,पठनीय,1,0,a
524,पतली,1,0,a
525,पदोन्नत,1,0,a
526,परमानंद,1,0,a
527,परमसुखी,1,0,a
528,पराक्रमी,1,0,a
529,पराक्रम,1,0,a
530,पराजित,1,0,a
531,परिपक्वता,1,0,a
532,परिपक्व,1,0,a
533,परिश्रम,1,0,a
534,परिष्कृत,1,0,a
535,परिहार,1,0,a
536,परेशानी,1,0,a
537,परोपकारी,1,0,a
538,परोपकार,1,0,a
539,पर्याप्त,1,0,a
