,level_0,index,LIST_OF_WORDS,POS,NEG
0,0,0.0,अंमुक्त,1,0
1,1,1.0,अखंड,1,0
2,2,2.0,अखण्ड,1,0
3,3,3.0,अग्रगण्य,1,0
4,4,4.0,अचूकता,1,0
5,5,5.0,अचूक,1,0
6,6,6.0,अच्छाई,1,0
7,7,7.0,अच्छा,1,0
8,8,8.0,अच्छीतरह,1,0
9,9,9.0,अच्छी ,1,0
10,10,10.0,अच्छीनस्ल,1,0
11,11,11.0,अच्छीस्थिति ,1,0
12,12,12.0,अच्छे,1,0
13,13,13.0,अजेय,1,0
14,14,14.0,अडिग,1,0
15,15,15.0,अतिउत्साहित,1,0
16,16,16.0,अतिविशाल,1,0
17,17,17.0,अतुलनीय,1,0
18,18,18.0,अथक,1,0
19,19,19.0,अदभुत,1,0
20,20,20.0,अदभुत रूप,1,0
21,21,21.0,अद्भुत,1,0
22,22,22.0,अद्वितीय,1,0
23,23,23.0,अधिकतम,1,0
24,24,24.0,अधिकता,1,0
25,25,25.0,अधिकारपूर्ण,1,0
26,26,26.0,अधिकहोना,1,0
27,27,27.0,अधिमानत,1,0
28,28,28.0,अधिवक्ताओं,1,0
29,29,29.0,अनमोल,1,0
30,30,30.0,अनायास,1,0
31,31,31.0,अनुकरणीय,1,0
32,32,32.0,अनुकूलक,1,0
33,33,33.0,अनुकूलतापूर्वक,1,0
34,34,34.0,अनुकूलनीय,1,0
35,35,35.0,अनुकूल,1,0
36,36,36.0,अनुग्रह,1,0
37,37,37.0,अनुग्राही,1,0
38,38,38.0,अनुभूतियां,1,0
39,39,39.0,अनुमेय,1,0
40,40,40.0,अनुमोदन,1,0
41,41,41.0,अनुराग,1,0
42,42,42.0,अन्तरंग,1,0
43,43,43.0,अपराजेयता,1,0
44,44,44.0,अपराजेय,1,0
45,45,45.0,अपील,1,0
46,46,46.0,अबाध,1,0
47,47,47.0,अभिजात ,1,0
48,48,48.0,अभिनंदन,1,0
49,49,49.0,अभिनव,1,0
50,50,50.0,अभिन्न,1,0
51,51,51.0,अभिपुष्टि,1,0
52,52,52.0,अभिमानी,1,0
53,53,53.0,अभिमान,1,0
54,54,54.0,अभेद्य,1,0
55,55,55.0,अमनपसंद,1,0
56,56,56.0,अमीर,1,0
57,57,57.0,अमूल्य,1,0
58,58,58.0,अमोघ,1,0
59,59,59.0,अर्चक,1,0
60,60,60.0,अर्दली,1,0
61,61,61.0,अलबेला,1,0
62,62,62.0,अल्हड़,1,0
63,63,63.0,अवाक,1,0
64,64,64.0,अविस्मरणीय,1,0
65,65,65.0,असंयत,1,0
66,66,66.0,असत्य,1,0
67,67,67.0,असली,1,0
68,68,68.0,असाधारण,1,0
69,69,69.0,असीमित,1,0
70,70,70.0,असीम,1,0
71,71,71.0,अस्वाभाविक,1,0
72,72,72.0,अहानिकर,1,0
73,73,73.0,अहिंसात्मक,1,0
74,74,74.0,अहिंस,1,0
75,75,75.0,आंखपकड़,1,0
76,76,76.0,आकर्षक,1,0
77,77,77.0,आकर्षण,1,0
78,78,78.0,आकस्मिक,1,0
79,79,79.0,आकांक्षाओं,1,0
80,80,80.0,आकांक्षा,1,0
81,81,81.0,आगेनिकलना,1,0
82,82,82.0,आगेनिकल,1,0
83,83,83.0,आगेबढ़ना,1,0
84,84,84.0,आग्रहपूर्वक,1,0
85,85,85.0,आग्रह,1,0
86,86,86.0,आज़ाद,1,0
87,87,87.0,आज्ञाकारी,1,0
88,88,88.0,आड़ू,1,0
89,89,89.0,आत्मनिर्भरता,1,0
90,90,90.0,आत्मनिर्भर,1,0
91,91,91.0,आत्मविश्वास,1,0
92,92,92.0,आत्मसंतोष,1,0
93,93,93.0,आत्मसम्मान,1,0
94,94,94.0,आत्मीयता,1,0
95,95,95.0,आदरकारी,1,0
96,96,96.0,आदरपूर्वक,1,0
97,97,97.0,आदर्श,1,0
98,98,98.0,आदर,1,0
99,99,99.0,आदाब,1,0
100,100,100.0,आधार,1,0
101,101,101.0,आधिकारिक,1,0
102,102,102.0,आधुनिकता ,1,0
103,103,103.0,आधुनिक,1,0
104,104,104.0,आध्यात्मिक,1,0
105,105,105.0,आनंददायी ,1,0
106,106,106.0,आनंदपूर्वक,1,0
107,107,107.0,आनंदमय,1,0
108,108,108.0,आनंदित,1,0
109,109,109.0,आनंद,1,0
110,110,110.0,आनन्दपूर्वक,1,0
111,111,111.0,आभारी,1,0
112,112,112.0,आभार,1,0
113,113,113.0,आमोद,1,0
114,114,114.0,आमोदप्रमोद ,1,0
115,115,115.0,आराध्य,1,0
116,116,116.0,आरामदायक,1,0
117,117,117.0,आराम,1,0
118,118,118.0,आराम ,1,0
119,119,119.0,आलादर्जे,1,0
120,120,120.0,आलिंगन,1,0
121,121,121.0,आलीशान,1,0
122,122,122.0,आवाहक,1,0
123,123,123.0,आविष्कारशील,1,0
124,124,124.0,आवेशपूर्ण,1,0
125,125,125.0,आशावादी,1,0
126,126,126.0,आशावाद,1,0
127,127,127.0,आशावान,1,0
128,128,128.0,आशीर्वाद,1,0
129,129,129.0,आशीर्वाद ,1,0
130,130,130.0,आश्चर्यचकित,1,0
131,131,131.0,आश्चर्यजनक,1,0
132,132,132.0,आश्चर्य,1,0
133,133,133.0,आश्चर्य ,1,0
134,134,134.0,आश्च्र्यजनक ,1,0
135,135,135.0,आश्वस्त,1,0
136,136,136.0,आश्वासनों,1,0
137,137,137.0,आश्वासन,1,0
138,138,138.0,आसक्ति,1,0
139,139,139.0,आसानी ,1,0
140,140,140.0,आसान,1,0
141,141,141.0,इंगित,1,0
142,142,142.0,इच्छा,1,0
143,143,143.0,इच्छुक,1,0
144,144,144.0,इनाम,1,0
145,145,145.0,इनायत ,1,0
146,146,146.0,इमदादी,1,0
147,147,147.0,इलाज,1,0
148,148,148.0,इष्टतम,1,0
149,149,149.0,ईमानदारी,1,0
150,150,150.0,ईमानदारी ,1,0
151,151,151.0,ईमानदार,1,0
152,152,152.0,ईर्ष्यापूर्वक,1,0
153,153,153.0,ईशअनुग्रह,1,0
154,154,154.0,उचित,1,0
155,155,155.0,उच्चगुणवत्ता,1,0
156,156,156.0,उछाल,1,0
157,157,157.0,उजागर,1,0
158,158,158.0,उज्जवल,1,0
159,159,159.0,उत्कट,1,0
160,160,160.0,उत्कृष्टता,1,0
